Name,Score,Japanese name,Type,Favorites,Completed
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,7.29,超次元ゲイム ネプテューヌ THE ANIMATION 約束の永遠（トゥルーエンド）,OVA,75,21329
Maji,Unknown,本気(マジ)!,OVA,1,69
Kimi to Boku,6.94,キミとボク,ONA,13,842
Noragami,8.01,ノラガミ,TV,29237,1181215
Fate/kaleid liner Prisma☆Illya 2wei!,7.3,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ!,TV,250,87658
Little Busters!: EX,7.74,リトルバスターズ！EX,Special,152,27652
Harinezumi,Unknown,ハリネズミ,Music,0,153
Z/X: Ignition,6.53,Z/X IGNITION,TV,58,19757
Nameko-ke no Ichizoku,6.28,なめこ家の一族,OVA,2,303
Mikakunin de Shinkoukei,7.44,未確認で進行形,TV,1060,183366
Bayonetta: Bloody Fate,6.63,ベヨネッタ ブラッディフェイト,Movie,69,25783
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA,6.82,勇者になれなかった俺はしぶしぶ就職を決意しました。OVA,OVA,17,29874
Top wo Nerae 2! Kagaku Kouza,5.42,トップをねらえ２！科学講座,Special,0,611
SoniAni: Super Sonico The Animation,6.1,そにアニ -SUPER SONICO THE ANIMATION-,TV,170,29240
11eyes Picture Drama,5.51,11eyes 映像特典,Special,6,2364
Nekketsu Tantei Jimusho,5.38,熱血探偵事務所,ONA,1,221
Haikyuu!!,8.53,ハイキュー!!,TV,54887,896822
Ashinaga Ojisan,5.71,あしながおじさん,Special,1,309
Bikyaku Seido Kaichou Ai,6.52,美脚性奴会長 亜衣,OVA,76,2518
Kyoufu no Kyou-chan,Unknown,きょうふのキョーちゃん,TV,1,79
Viva Namida,6.68,岡村靖幸 - ビバナミダ,Music,3,3711
Kimi no Iru Machi OVA,7.08,君のいる町 OVA,OVA,16,10925
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,夏目友人帳 新作OVA いつかゆきのひに,OVA,105,40232
Amnesia OVA,6.38,AMNESIA,OVA,30,21883
Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,5.67,ジオニックフロント 機動戦士ガンダム0079,Special,0,806
Shashinkan,7.32,寫眞館,Movie,8,2883
Hinata no Aoshigure,6.97,陽なたのアオシグレ,Movie,38,9131
Hamatora The Animation,7.3,ハマトラ THE ANIMATION,TV,997,143323
Goannai Shimasu Another World e,Unknown,ご案内します アナザーワールドへ,OVA,0,74
Baka Misérables,5.6,バカ・ミゼラブル,ONA,0,193
"""0""",4.71,「0」,Music,1,2552
Sabage-bu!,7.38,さばげぶっ!,TV,513,59272
Mai Zhu,5.41,卖猪,Movie,0,240
Mint,Unknown,MINT,Movie,1,0
Kyousou Giga (TV) Recaps,6.57,京騒戯画,Special,2,6839
"Lies, Lies.",5.19,ライズ、ライズ,Music,0,251
Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,6.66,デントとタケシ！ギャラドスのげきりん！！,Special,2,4936
Love Live! School Idol Project OVA,6.86,ラブライブ! School idol project OVA,OVA,167,33632
Ganbare! Lulu Lolo,Unknown,がんばれ！ルルロロ,TV,0,77
Taimanin Yukikaze,6.5,対魔忍ユキカゼ,OVA,64,4609
Noragami OVA,7.76,ノラガミ OAD,OVA,423,206699
Mahouka Koukou no Rettousei,7.53,魔法科高校の劣等生,TV,10040,520791
Black Bullet,7.17,ブラック・ブレット　BLACK BULLET　［黒の銃弾］,TV,3680,503294
Sennen no Yakusoku,Unknown,千年の約束,OVA,0,55
Norman the Snowman: Kita no Kuni no Aurora,Unknown,ノーマン・ザ・スノーマン ~北の国のオーロラ~,Movie,0,73
Koakuma Kanojo The Animation,7.24,小悪魔カノジョ THE ANIMATION,OVA,158,10315
Maid of the Dead,4.08,MAID OF THE DEAD,ONA,0,2966
Sekaiichi Hatsukoi: Valentine-hen,7.87,世界一初恋～バレンタイン編～,Movie,65,23198
Joshikousei Nobunaga-chan!!,Unknown,女子高生信長ちゃん!!,ONA,1,142
Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear,6.84,戦姫絶唱シンフォギアG 戦姫絶唱しないシンフォギア,Special,13,5336
Seitokai Yakuindomo*,7.74,生徒会役員共＊,TV,521,134282
Oni Chichi 2: Revenge,6.84,鬼父2 -REVENGE-,OVA,35,10714
Hitsugi no Chaika,7.29,棺姫のチャイカ,TV,775,191130
Bacterial Contamination,5.97,細菌汚染 – Bacterial Contamination –,Music,9,3285
Nebula feat. Hatsune Miku,5.54,Nebula feat. Hatsune Miku,Music,1,1509
Nulu-chan to Boku,5.48,ヌルちゃんとぼく,ONA,0,231
Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,6.69,日産SERENA×ワンピース 潜入サウザンド・サニー号,Special,40,5912
Hana no Zundamaru,Unknown,花のずんだ丸,ONA,0,146
Music S.T.A.R.T!!,7.21,Music S.T.A.R.T!!,Music,16,9088
Kuro no Su: Chronus,6.84,黒の栖 -Chronus-,Movie,9,10947
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.12,ジョジョの奇妙な冒険 スターダストクルセイダース,TV,14056,587864
Harmonie,7.31,アルモニ,Movie,135,31291
Ookii 1 Nensei to Chiisana 2 Nensei,6.38,大きい1年生と小さな2年生,Movie,0,2601
Kyoukai no Kanata: Mini Gekijou,6.82,境界の彼方 ミニ劇場,Special,36,18068
6♥Princess,5.56,6♥PRINCESS,Music,4,2772
Diabolik Lovers Recap,5.39,DIABOLIK LOVERS 総集編【Episode6.5】,Special,65,16075
Galo Sengen,6.44,GAL男宣言,Music,13,1215
Oneechan ga Kita,6.37,お姉ちゃんが来た,TV,80,63368
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",7.23,俺の脳内選択肢が、学園ラブコメを全力で邪魔している OAD,OVA,47,48759
Iron Kid,6.92,아이언 키드,TV,64,2648
DPR Special Movie,5.52,DPRスペシャルムービー,Special,1,768
Peeping Life: YouTuber-kun,4.9,Peeping Life ユーチューバ―くん,ONA,1,246
Kansen: Ball Buster The Animation,5.94,姦染 Ball Buster The Animation,OVA,8,2755
Parol no Miraijima,5.89,パロルのみらい島,Movie,2,1389
Shimajirou to Kujira no Uta,Unknown,しまじろうと くじらのうた,Movie,0,53
Wonder Garden,6.36,WONDER GARDEN,ONA,4,4775
Tezuka Osamu no Buddha: Owarinaki Tabi,6.9,手塚治虫のブッダ－終わりなき旅－,Movie,2,1327
Kiniro no Corda: Blue♪Sky,6.43,金色のコルダ Blue♪Sky,TV,38,12021
Sekai Seifuku: Bouryaku no Zvezda,7.09,世界征服～謀略のズヴィズダー～,TV,300,61046
Seisenshi Dunbine Memorial,Unknown,聖戦士ダンバイン 編集版,Special,0,137
Tonari no Seki-kun OVA,7.41,となりの関くん DVD,OVA,5,28528
Yoza-Quar!,6.56,よざカル！,Special,4,2929
Himekishi Olivia,6.51,姫騎士オリヴィア,OVA,20,3241
Mini Van Special,6.43,みにヴぁん,Special,0,412
Dekakute Ecchi na Ore no Ane,6.99,デカくてエッチな俺の姉,OVA,70,5101
Sekai de Ichiban Tsuyoku Naritai! Specials,5.74,世界でいちばん強くなりたい!,Special,4,3795
Marvel Disk Wars: The Avengers,5.91,ディスク・ウォーズ：アベンジャーズ,TV,17,1641
Noonbory,Unknown,눈보리,TV,1,48
Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,Unknown,十五少年漂流記 海賊島DE！大冒険,Movie,1,54
Chang,Unknown,창,Movie,0,132
Saibi,6.75,사이비,Movie,14,1158
Precure All Stars Movie New Stage 3: Eien no Tomodachi,7.27,映画プリキュアオールスターズNew Stage3 永遠のともだち,Movie,4,2085
Seikoku no Dragonar,6.52,星刻の竜騎士,TV,238,118202
Uchuu Icchokusen,Unknown,宇宙一直線,Movie,2,109
Gatchaman Crowds Insight,7.3,GATCHAMAN CROWDS insight（インサイト）,TV,179,30963
Follow Me,6.23,Follow Me,Music,1,1795
Ikemen Kyuugo-tai Nurse Angels,Unknown,イケメン救護隊 Nurse Angels,TV,0,59
Mission School,5.67,MISSION SCHOOL,Music,1,438
Oppai Infinity∞! The Animation,6.47,おっぱインフィニティ∞! THE ANIMATION,OVA,13,2019
Yakusoku (ONA),6.62,約束,ONA,0,890
Strange+,6,ストレンジ・プラス,TV,18,14854
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,6.94,アマネェ！ ～トモダチンチでこんな事になるなんて！～,OVA,62,6369
Puchimas!!: Petit Petit iDOLM@STER,7.21,ぷちます！！プチプチ・アイドルマスター,ONA,18,4148
Hetalia: The Beautiful World Extra Disc,7.35,ヘタリア The Beautiful World 僕がヒロインに囲まれ過ぎて世（ｒｙ,OVA,16,5445
Kakumeiki Valvrave Recaps,6.23,革命機ヴァルヴレイヴ「スペシャルエディション」EDITED,ONA,2,1391
Yu Bang Xiang Zheng,5.84,鹬蚌相争,Movie,1,361
Witch Craft Works,7.07,ウィッチクラフトワークス,TV,579,154235
Lost Forest,5.38,LOST FOREST,Music,0,536
Oni Chichi: Rebuild,7.24,鬼父 Rebuild,OVA,120,14236
Kenji no Trunk,Unknown,賢治のトランク,Movie,0,73
Katta-kun Monogatari,Unknown,カッタ君物語,Movie,0,55
Utopia,6.43,true tears×花咲くいろは×TARITARI ユートピア,Music,5,3567
Love Stage!!,7.32,LOVE STAGE!!,TV,1748,149134
Buddy Spirits,5.36,バディ スピリッツ,ONA,1,361
Sister Princess: Re Pure Character's,6.07,シスター・プリンセス　Re Pure　～キャラクターズ,Special,2,415
Heart Cocktail Again,Unknown,ハートカクテルアゲイン,OVA,0,76
Youtai Nuhai Zai Shanghai,Unknown,犹太女孩在上海,Movie,0,111
Wansa-kun OVA,Unknown,ワンサくん,OVA,0,60
Oni no Ko to Yuki Usagi,6.12,鬼の子とゆきうさぎ,Movie,0,155
Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,6.45,エスカ&ロジーのアトリエ ～黄昏の空の錬金術士～,TV,67,25450
Nobunaga the Fool,6.69,ノブナガ・ザ・フール,TV,171,37730
Dragon Fist,4.57,ドラゴンフィスト,OVA,0,579
Baby Steps,7.85,ベイビーステップ,TV,801,77227
"Wake Up, Girls! Shichinin no Idol",7.16,"Wake Up, Girls！七人のアイドル",Movie,17,14885
Soul Eater: Late Night Show,6.82,ソウルイーターレイトショー,Special,40,10360
Teekyuu 2 Specials,6.55,てーきゅう 2,Special,0,7327
Zettai Shougeki: Platonic Heart Picture Drama,5.17,絶対衝激 ~PLATONIC HEART~ ピクチャードラマ,Special,0,327
Imanara Maniau! Log Horizon,6.79,今なら間に合う！ログ・ホライズン,Special,13,11656
Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,6.55,きょうかいのかなた アイドル裁判！～迷いながらも君を裁く民～,ONA,18,19598
Takarajima (Movie),6.36,宝島　劇場版,Movie,0,272
Go! Go! 575,5.65,ゴ～！ゴ～！ご～しちご～,TV,5,7280
Gochuumon wa Usagi Desu ka?,7.52,ご注文はうさぎですか？,TV,1965,88005
Yawaraka Sensha,Unknown,やわらか戦車,ONA,0,71
Yawaraka Atom,Unknown,やわらかアトム,ONA,0,68
Sore Ike! Anpanman: Minami no Umi wo Sukue!,Unknown,それいけ! アンパンマン みなみの海をすくえ!,Special,0,96
Sore Ike! Anpanman: Shabondama no Purun,Unknown,それいけ! アンパンマン シャボン玉のプルン,Movie,0,78
Sore Ike! Anpanman: Tenohira wo Taiyou ni,Unknown,それいけ! アンパンマン てのひらを太陽に,Movie,0,82
Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,Unknown,それいけ!アンパンマン やきそばパンマンとブラックサボテンマン,Movie,0,96
Trick or Alice,5.62,トリック・オア・アリス,OVA,17,166
Pupipo!,6.82,プピポー！,TV,40,11118
Isshuukan Friends.,7.57,一週間フレンズ。,TV,1147,150900
Mushishi: Hihamukage,8.57,蟲師 特別篇「日蝕む翳」,Special,171,69625
Kazoku no Hanashi,6.52,家族のはなし,ONA,0,551
Double Circle,4.92,ダブルサークル,ONA,3,1690
Psycho-Pass Movie,7.74,劇場版 サイコパス,Movie,515,141876
Kichiku: Haha Shimai Choukyou Nikki,6.86,鬼畜 〜母姉妹調教日記〜,OVA,42,2665
Tokyo ESP,6.57,東京ESP,TV,189,82508
Tokubetsu Jugyou 3 SLG The Animation,6.76,特別授業3SLG THE ANIMATION,OVA,48,2473
Freezing Vibration Specials,6.51,震えちゃう❤フリージング ヴァイブレーションOVA,Special,18,15469
Shiiba-san no Ura no Kao. with Imouto Lip,6.56,椎葉さんのウラの顔。 with イモートリップ,OVA,11,1983
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,7.28,映画クレヨンしんちゃん　ガチンコ! 逆襲のロボとーちゃん,Movie,8,2231
Bokura wa Minna Kawai-sou,7.72,僕らはみんな河合荘,TV,1957,203521
Happiness Charge Precure!,6.77,ハピネスチャージプリキュア！,TV,53,3928
The iDOLM@STER Cinderella Girls 2nd Anniversary PV,6.9,アイドルマスター シンデレラガールズ ２周年記念ＰＶ,Music,4,2161
Machine-Doll wa Kizutsukanai Specials,6.76,機巧少女は傷つかない,Special,19,21030
Detective Conan Movie 18: The Sniper from Another Dimension,8.09,名探偵コナン　異次元の狙撃手（スナイパー）,Movie,46,26185
Mahou Shoujo Taisen,5.77,魔法少女大戦,TV,4,5692
Minna Atsumare! Falcom Gakuen,5.9,みんな集まれ！ファルコム学園,TV,5,2224
Gokukoku no Brynhildr,6.92,極黒のブリュンヒルデ,TV,1091,181913
Chou Zenmairobo: Patrasche,Unknown,超ゼンマイロボ パトラッシュ,TV,0,132
Yama no Susume: Second Season,7.55,ヤマノススメ セカンドシーズン,TV,124,13288
Buddy Complex,7.17,バディ・コンプレックス,TV,201,45976
Uta no☆Prince-sama♪ Maji Love Revolutions,7.04,うたの☆プリンスさまっ♪マジLOVEレボリューションズ,TV,258,29961
Taisei Kensetsu: Sri Lanka Kousokudouro,6.02,大成建設テレビCM「スリランカ高速道路」篇,Special,0,3058
Meitantei Rascal,Unknown,めいたんてい ラスカル,TV,1,96
Nihonbashi Koukashita R Keikaku,6.62,日本橋高架下R計画,Music,10,2594
Ikkyuu-san to Yancha Hime,Unknown,一休さんとやんちゃ姫,Movie,0,94
Stand By Me Doraemon,8.06,STAND BY ME ドラえもん,Movie,148,23994
Mirai Koushi Harima SACLA,5.59,未来光子 播磨サクラ,ONA,0,742
Persona 3 the Movie 2: Midsummer Knight's Dream,7.66,PERSONA3 THE MOVIE —#2 Midsummer Knight's Dream—,Movie,188,45298
Ikkyuu-san: Haru Da! Yancha Hime,Unknown,一休さん 春だ!やんちゃ姫,Movie,0,81
Metal Fight Beyblade Zero G Specials,6.03,メタルファイト ベイブレード ZEROG,Special,0,1464
Sanchoume no Yuuhi,Unknown,三丁目の夕日,TV,0,60
Dokkan! Robotendon,Unknown,ドッカン! ロボ天どん,TV,0,54
Shin Dokonjou Gaeru,Unknown,新・ど根性ガエル,TV,0,96
Shin Dokonjou Gaeru: Dokonjou Yumemakura,Unknown,新ど根性ガエル ど根性・夢枕,Movie,0,127
Ninjaman Ippei,Unknown,忍者マン 一平,TV,0,86
Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki,6.11,忍者ハットリくん ニンニン忍法絵日記の巻,Movie,0,229
Denpa Kyoushi,6.4,電波教師,Special,15,4408
Sengoku Musou SP: Sanada no Shou,6.6,戦国無双SP 真田の章,Special,13,3106
Soul Eater NOT!,5.98,ソウルイーターノット！,TV,223,102639
Trip Trek (2010),Unknown,TRIP TREK [トリップトレック],ONA,0,61
Kantai Collection: KanColle,6.88,艦隊これくしょん -艦これ-,TV,1439,96281
Imako System,6.11,イマコシステム,OVA,14,2505
Soratobu Usagi no Yuukai Boushi: Boku Iya Da yo!,Unknown,空とぶうさぎの誘拐防止 ぼく いやだよ!,OVA,0,57
Futa-bu!,7.11,ふた部!,OVA,397,15971
Baku Tech! Bakugan Gachi,5.86,爆TECH!爆丸ガチ,TV,0,1075
Geba Geba Shou Time!,Unknown,ゲバゲバ笑タイム!,OVA,0,71
Oraa Guzura Dado,Unknown,おらぁグズラだど,TV,0,97
Hentai Ouji to Warawanai Neko.: Henneko BBS,6.73,変態王子と笑わない猫。へんねこBBS,Special,41,18694
Choubakumatsu Shounen Seiki Takamaru,Unknown,超幕末少年世紀タカマル,OVA,0,69
Shin Choubakumatsu Shounen Seiki Takamaru,Unknown,新・超幕末少年世紀タカマル,OVA,0,52
Hitotsuboshi-ke no Ultra Baasan,Unknown,一ツ星家のウルトラ婆さん,TV,0,75
Kaitei Toshi no Dekiru made,Unknown,海底都市の出来るまで,Movie,0,52
Asobo Toy-chan,Unknown,あそぼトイちゃん,TV,0,64
Omoide no Marnie,8.11,思い出のマーニー,Movie,1661,128566
Ryuugajou Nanana no Maizoukin (TV),7.19,龍ヶ嬢七々々の埋蔵金,TV,315,110062
Kamigami no Asobi,7.09,神々の悪戯,TV,784,71854
Pokemon Movie 17: Hakai no Mayu to Diancie,6.47,ポケモン・ザ・ムービーXY『破壊の繭とディアンシー』,Movie,9,24813
"Pokemon: Pikachu, Kore Nan no Kagi?",6.34,"ポケモン・ザ・ムービーXY『ピカチュウ, これなんのカギ?』",Movie,0,3162
Senki Zesshou Symphogear GX,7.43,戦姫絶唱シンフォギアGX,TV,432,22842
Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,6.26,攻殻機動隊ARISE ロジコマ・ビート,Special,2,2438
Mou Hitotsu no Mirai wo.,6.07,もうひとつの未来を.,ONA,2,5219
Wasure-boshi,5.74,忘れ星,ONA,0,536
Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,6.16,遊☆戯☆王ZEXALⅡ 特別編 いざ！最終決戦へ!!,Special,0,1371
Yabai! Fukushuu Yami Site,6.76,ヤバい！-復讐・闇サイト-,OVA,54,4646
Fight Ippatsu! Juuden-chan!! OVA,6.44,ファイト一発! 充電ちゃん!!,OVA,0,1115
Mekakucity Actors,7.08,メカクシティアクターズ,TV,3758,219659
Picotopia,5.16,ピコトピア,ONA,1,947
GJ-bu@,7.26,GJ部@,Special,29,24943
Yu☆Gi☆Oh! Arc-V,6.79,遊☆戯☆王　アーク・ファイブ ARC-V,TV,1192,20770
Planet:Valkyrie,5.71,［プラネットワルキューレ］,ONA,1,625
Tamako Love Story,8,たまこラブストーリー,Movie,1712,149972
Mitsuwano,6.04,みツわの,OVA,0,2578
IS: Infinite Stratos 2 - World Purge-hen,6.95,IS〈インフィニット・ストラトス〉2　ワールド・パージ編,OVA,62,48830
Kill la Kill Specials,7.72,キルラキル 特別編,Special,376,133964
Last Orders,5.77,Last Orders,Special,0,949
Non Non Biyori: Okinawa e Ikukoto ni Natta,7.61,のんのんびより　沖縄へ行くことになった,OVA,40,36928
Keroro,6.86,ケロロ,TV,29,3892
Captain Earth,6.42,キャプテン・アース,TV,82,24546
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",6.43,最近、妹のようすがちょっとおかしいんだが。 OVA,OVA,7,18273
Hanayamata,7.33,ハナヤマタ,TV,351,40773
Pokemon XY SP: Road to Kalos,6.43,「ポケットモンスター ＸＹ」放送直前ＳＰ　～ロード to カロス～,Special,4,4371
Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken,6.69,金田一少年の事件簿 SP「死神病院殺人事件」,Special,2,560
Pokemon XY: New Year Special,6.29,完全マスター！ポケモンXYスペシャル,Special,1,2860
Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten,6.55,劇場版 プリティーリズム・オールスターセレクション プリズムショー☆ベストテン,Movie,8,614
Il torero Camomillo,5.05,トレロ カモミロ,Music,0,138
Usagi no Mofy,Unknown,うさぎのモフィ,ONA,0,117
Makkuramori no Uta,5.72,まっくら森の歌,Music,1,187
Koisuru Niwatori,5.33,恋するニワトリ,Music,0,204
Cardfight!! Vanguard: Legion Mate-hen,6.79,カードファイト!! ヴァンガード レギオンメイト編,TV,36,8154
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode",7.45,たまゆら～もあぐれっしぶ～ 第8.5話「一日だけの修学旅行、なので」,Special,1,2763
Donten ni Warau,7.52,曇天に笑う,TV,707,50019
Kimama ni Idol,Unknown,気ままにアイドル,OVA,0,90
Okusama wa Moto Yariman,6.93,奥様は元ヤリマン,OVA,113,6071
Shin Tennis no Ouji-sama OVA vs. Genius 10,7.63,新テニスの王子様 OVA vs Genius10,OVA,61,8738
Ari to Hato,Unknown,蟻と鳩,Movie,0,66
Ari to Hato (1953),Unknown,ありとはと,Movie,0,61
Ari to Hato (1959),Unknown,ありとはと,Movie,0,126
Romantica Clock,5.72,ロマンチカ クロック,Special,11,8823
Sugar*Soldier,5.8,シュガー＊ソルジャー,Special,7,7196
Yugami-kun ni wa Tomodachi ga Inai,5.88,湯神くんには友達がいない,ONA,4,988
Tsubasa to Hotaru,6.89,つばさとホタル,Special,19,7881
Chuunibyou demo Koi ga Shitai! Ren Lite,7.17,中二病でも恋がしたい！戀 Lite,ONA,87,49040
Kenzen Robo Daimidaler,6.17,健全ロボ ダイミダラー,TV,78,25003
Fuuun Ishin Dai☆Shogun,5.73,風雲維新ダイ☆ショーグン,TV,21,9613
Fella Pure: Mitarashi-san Chi no Jijou The Animation,7.36,フェラピュア ~御手洗さん家の事情~ THE ANIMATION,OVA,335,14243
Dracula no Uta,4.83,ドラキュラのうた,Music,1,456
Higenashi Gogejabaru,5.14,ひげなしゴゲジャバル,Music,0,206
Majin Bone,6.67,マジンボーン,TV,29,2606
Shingeki no Bahamut: Genesis,7.67,神撃のバハムート GENESIS,TV,1556,192178
Ushinawareta Mirai wo Motomete,6.76,失われた未来を求めて,TV,157,34980
Tesagure! Bukatsumono Encore,7.1,てさぐれ！部活もの あんこーる,TV,13,1836
Love Live! School Idol Project Recap,6.99,ラブライブ！〜国立音ノ木坂学院案内〜,Special,21,4468
Hanamonogatari,7.99,花物語,TV,1168,233486
Airy Me,6.32,Airy Me,Music,11,2969
Mangaka-san to Assistant-san to The Animation,7.18,マンガ家さんとアシスタントさんと THE ANIMATION,TV,403,139968
The Disappearance of Conan Edogawa: The Worst Two Days in History,7.78,名探偵コナン 江戸川コナン失踪事件～史上最悪の二日間～,Special,9,7419
Tarepanda,Unknown,たれぱんだ,OVA,0,101
Chou Akuukan Bouheki Cheese Napolitan,5.3,超亜空間防壁チーズ・ナポリタン,ONA,0,753
High Score Girl,7.88,ハイスコアガール,TV,2048,102347
Sword Art Online: Sword Art Offline - Extra Edition,6.59,そーどあーと・おふらいん Extra Edition,Special,114,36612
Sword Art Online II,6.79,ソードアート・オンライン II,TV,10339,1199824
Natsumi Step!,5.22,なつみ STEP!,Music,0,223
Gintama: Yorinuki Gintama-san on Theater 2D,8.44,銀魂 よりぬき銀魂さんオンシアター2D,Movie,50,17981
Kanbee-kun ga Yuku,Unknown,官兵衛くんがゆく,Special,0,57
Chichiiro Toiki,7.07,乳色吐息,OVA,74,6743
Sore Ike! Anpanman: Anpanman to Happy Otanjoubi,Unknown,それいけ!アンパンマン アンパンマンとハッピーおたんじょう日,Movie,0,90
Sore Ike! Anpanman: Anpanman to Okashi na Nakama,Unknown,それいけ!アンパンマン アンパンマンとおかしな仲間,Movie,0,87
Sore Ike! Anpanman: Anpanman to Yukai na Nakama-tachi,Unknown,それいけ!アンパンマン アンパンマンとゆかいな仲間たち,Movie,0,134
Mushishi Zoku Shou,8.72,蟲師 続章,TV,1393,113559
Sore Ike! Anpanman: Anpanman no Jin-Jin-Jingle Bells,Unknown,それいけ!アンパンマン アンパンマンのジンジンジングルベル,Special,0,90
Sore Ike! Anpanman: Baikinman to 3 Bai Punch,Unknown,それいけ!アンパンマン ばいきんまんと3ばいパンチ,Movie,0,92
Sore Ike! Anpanman: Baikinman vs. Baikinman!?,Unknown,それいけ!アンパンマン ばいきんまんVSバイキンマン!?,Movie,0,80
Sore Ike! Anpanman: Gomira no Hoshi,Unknown,それいけ!アンパンマン ゴミラの星,Movie,0,90
Sore Ike! Anpanman: Hiya Hiya Hiyariko to Bafu Bafu Baikinman,Unknown,それいけ!アンパンマン ヒヤヒヤヒヤリコとばぶ・ばぶばいきんまん,Movie,0,81
Sore Ike! Anpanman: Horrorman to Hora Horako,Unknown,それいけ!アンパンマン ホラーマンとホラ・ホラコ,Movie,0,75
Sore Ike! Anpanman: Kokin-chan to Namida no Christmas,Unknown,それいけ!アンパンマン コキンちゃんとなみだのクリスマス,Special,0,74
Sore Ike! Anpanman: Kokin-chan to Aoi Namida,Unknown,それいけ!アンパンマン コキンちゃんとあおいなみだ,Movie,0,80
Sore Ike! Anpanman: Kuruyuki-hime to Mote Mote Baikinman,Unknown,それいけ!アンパンマン くろゆき姫とモテモテばいきんまん,Movie,0,87
Sore Ike! Anpanman: Minna Atsumare! Anpanman World,Unknown,それいけ!アンパンマン みんな集まれ!アンパンマンワールド,Movie,0,88
Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing,Unknown,それいけ!アンパンマン つきことしらたま〜ときめきダンシング〜,Movie,0,78
Sore Ike! Anpanman: Yousei Rinrin no Himitsu,Unknown,それいけ!アンパンマン 妖精リンリンのひみつ,Movie,0,77
Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,Unknown,それいけ!アンパンマン 夢猫の国のニャニイ,Movie,0,90
Sore Ike! Anpanman: Yuuki no Hana ga Hiraku Toki,Unknown,それいけ!アンパンマン 勇気の花がひらくとき,Movie,0,83
Sore Ike! Anpanman: Anpanman to Oyakusoku,Unknown,それいけ! アンパンマン アンパンマンとおやくそく,OVA,0,78
Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,Unknown,それいけ! アンパンマン おうたとてあそび たのしいね,OVA,0,78
Pic-lele,Unknown,ピクレレ,TV,0,31
Ao Haru Ride,7.67,アオハライド,TV,7415,421817
Duel Masters Victory V,5.95,デュエル・マスターズ ビクトリーV,TV,0,332
Duel Masters Victory V3,5.88,デュエル・マスターズ ビクトリーV3,TV,1,336
Koukaku Kidoutai Nyuumon Arise,6.85,攻殻機動隊入門あらいず,TV,8,2316
Samurai Gun Special,5.91,サムライガン 8.5話 消せない過去,Special,0,394
Sore Ike! Anpanman: Lyrical☆Magical Mahou no Gakkou,Unknown,それいけ! アンパンマン リリカル☆マジカルまほうの学校,Movie,0,86
Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,Unknown,それいけ！アンパンマン ドキンちゃんのドキドキカレンダー,Movie,0,70
Mou Hasamazu ni wa Irarenai♥: Hoshi ni Onegai shitara Konnani Okkiku Nacchatta!,6.76,もう挟まずにはいられない♥ ～星にお願いしたらこんなにおっきくなっちゃった！～,OVA,32,3996
Fairy Tail (2014),7.73,FAIRY TAIL（フェアリーテイル）,TV,11961,440657
Just Awake,6.45,Just Awake,Music,2,1746
Gakkou no Kaidan (OVA),6.46,学校の怪談,OVA,1,271
Gakkou no Kaidan Recaps,6.03,学校の怪談　総集編,Special,0,730
"Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.",6.88,いなり、こんこん、恋いろは。いなり、コンコン、蝉しぐれ。,OVA,9,15850
Kakumeiteki Broadway Shugisha Doumei,5.14,革命的ブロードウェイ主義者同盟,Music,0,384
T-Rex,Unknown,T-レックス,TV,0,83
Swing Out Sisters (2014),7.48,Swing Out Sisters,OVA,194,9339
Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,7.07,未確認で進行形 「見て。あれが私たちの泊まっている旅館よ。」,Special,12,29316
