Name,Score,Japanese name,Type,Favorites,Completed
Jinki:Extend,6.14,ジンキ・エクステンド,TV,10,4784
Kamikaze Kaitou Jeanne,7.45,神風怪盗ジャンヌ,TV,499,32304
Kannazuki no Miko,6.87,神無月の巫女,TV,767,33411
Kanon,7.11,カノン,TV,248,32662
Kareshi Kanojo no Jijou,7.61,彼氏彼女の事情,TV,2188,75368
Kono Minikuku mo Utsukushii Sekai,6.76,この醜くも美しい世界,TV,178,33816
Kimi ga Nozomu Eien,7.24,君が望む永遠,TV,1072,75846
Kita e.: Diamond Dust Drops,6.62,北へ。 ～Diamond Dust Drops～,TV,9,2781
Loveless,6.86,LOVELESS,TV,1632,81173
Blood+,7.66,ブラッドプラス,TV,4623,163002
Re: Cutey Honey,7.12,Re:キューティーハニー,OVA,133,10939
Solty Rei,7.28,ソルティレイ,TV,124,13419
Juuni Kokuki,8.06,十二国記,TV,2261,41705
Shaman King,7.78,シャーマンキング,TV,3672,208822
X/1999,6.59,"エックス, X/1999",Movie,128,22871
X,7.43,X−エックス−,TV,796,39454
Mahou Sensei Negima!,6.98,魔法先生 ネギま！,TV,601,74264
Maria-sama ga Miteru,7.34,マリア様がみてる,TV,663,22274
Boukyaku no Senritsu,6.34,忘却の旋律,TV,43,6788
"Ima, Soko ni Iru Boku",7.66,今、そこにいる僕,TV,1018,39741
Peace Maker Kurogane,7.33,PEACE MAKER 鐵,TV,307,26653
Pita Ten,6.94,ぴたテン,TV,104,11980
Power Stone,6.48,パワーストーン,TV,20,4024
Mononoke Hime,8.72,もののけ姫,Movie,17114,735624
RahXephon,7.42,ラーゼフォン,TV,949,46207
Samurai 7,7.48,サムライセブン,TV,744,67372
Scrapped Princess,7.41,スクラップド・プリンセス,TV,433,42524
s.CRY.ed,7.38,スクライド,TV,673,44099
Shingetsutan Tsukihime,6.91,真月譚 月姫,TV,654,77659
Slam Dunk,8.53,スラムダンク,TV,5471,108713
Strange Dawn,6.35,ストレンジ・ドーン,TV,7,1487
