2020年,岩沼市,44091,21693,22398
2020年,登米市,76103,37159,38944
2020年,栗原市,64686,31144,33542
2020年,東松島市,39121,19096,20025
2020年,大崎市,127381,62428,64953
2020年,富谷市,51659,25091,26568
2020年,蔵王町,11428,5572,5856
2020年,七ヶ宿町,1262,620,642
2020年,大河原町,23575,11528,12047
2020年,村田町,10670,5296,5374
2020年,柴田町,38264,19344,18920
2020年,川崎町,8353,4101,4252
2020年,丸森町,12268,6121,6147
2020年,亘理町,33098,16212,16886
2020年,山元町,12051,5976,6075
2020年,松島町,13341,6423,6918
2020年,七ヶ浜町,18136,9026,9110
2020年,利府町,35189,17206,17983
2020年,大和町,28786,14971,13815
2020年,大郷町,7825,3822,4003
2020年,大衡村,5849,2928,2921
2020年,色麻町,6709,3250,3459
2020年,加美町,21952,10766,11186
2020年,涌谷町,15401,7524,7877
2020年,美里町,24011,11615,12396
2020年,女川町,6432,3351,3081
2020年,南三陸町,12230,5964,6266
2020年,秋田県,960113,452479,507634
2020年,秋田市,307885,145423,162462
2020年,能代市,50005,22914,27091
2020年,横手市,85584,40336,45248
2020年,大館市,69280,32556,36724
2020年,男鹿市,25175,11855,13320
2020年,湯沢市,42096,20112,21984
2020年,鹿角市,29107,13677,15430
2020年,由利本荘市,74763,35860,38903
2020年,潟上市,31743,14979,16764
2020年,大仙市,77715,36298,41417
2020年,北秋田市,30217,14165,16052
2020年,にかほ市,23455,11231,12224
2020年,仙北市,24629,11400,13229
2020年,小坂町,4780,2232,2548
2020年,上小阿仁村,2069,987,1082
2020年,藤里町,2898,1381,1517
2020年,三種町,15266,7036,8230
2020年,八峰町,6582,3068,3514
2020年,五城目町,8544,3983,4561
2020年,八郎潟町,5582,2533,3049
2020年,井川町,4570,2131,2439
2020年,大潟村,3014,1498,1516
2020年,美郷町,18625,8698,9927
2020年,羽後町,13822,6635,7187
2020年,東成瀬村,2707,1491,1216
2020年,山形県,1068696,516529,552167
2020年,山形市,247747,119022,128725
2020年,米沢市,81326,40259,41067
2020年,鶴岡市,122454,58641,63813
2020年,酒田市,100320,47855,52465
2020年,新庄市,34445,16442,18003
2020年,寒河江市,40208,19530,20678
2020年,上山市,29139,13918,15221
2020年,村山市,22537,10939,11598
2020年,長井市,26564,12959,13605
2020年,天童市,62166,30220,31946
2020年,東根市,47725,23532,24193
